corp_code,corp_name,stock_code,stage,stage_reason,risk_score,status,status_code,end_date,capital_total,capital_impaired,부채비율,유동비율,이자보상배율,fs_missing,induty_code,is_b2b_industry,final_distress_label,NO,기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도,ESG 등급조정,환경 등급조정,사회 등급조정,지배구조 등급조정
00109286,대동,000490,1,부채비율≥200%;,25.0,계속사업자,01,,355605746863.0,False,242.24018710751287,114.81056393980708,,False,29210,False,False,819,대동,000490,A,A,A+,B+,2025,,,,
00118804,동진쎄미켐,005290,0,정상,0.0,계속사업자,01,,891302466556.0,False,66.34449861671588,130.30151675492382,,False,20129,False,False,751,동진쎄미켐,005290,B,A,A+,D,2025,,,,
00112970,대한방직,001070,0,정상,0.0,계속사업자,01,,152719644695.0,False,51.71923704821582,162.17695243691415,,False,132,False,False,796,대한방직,001070,D,C,D,D,2025,,,,
01090471,SFA넥셀,222080,0,정상,0.0,계속사업자,01,,507689682230.0,False,29.98542203759688,396.2477073333303,,False,292,False,False,515,씨아이에스,222080,D,C,C,D,2025,,,,
01288827,HPSP,403870,0,정상,0.0,계속사업자,01,,308230752232.0,False,19.94493956226916,475.84046210841393,,False,29271,False,False,1028,HPSP,403870,C,D,C,B,2025,,,,
00129387,SP삼화,000390,0,정상,0.0,계속사업자,01,,300297947273.0,False,81.91524904776367,143.51218515746572,,False,20411,False,False,920,SP삼화,000390,B+,B+,B+,B+,2025,,,,
00111111,대양금속,009190,0,정상,0.0,계속사업자,01,,100084126789.0,False,44.32044933610316,361.8171330563987,,False,24122,False,False,808,대양금속,009190,D,C,D,D,2025,,,,
00470829,인티큐브,070590,0,정상,0.0,계속사업자,01,,13425012782.0,False,137.3362541205214,129.75312103730084,,False,62010,False,False,96,한솔인티큐브,070590,B+,C,B+,A,2025,,,,
00453488,다이나믹디자인,145210,0,정상,0.0,계속사업자,01,,49258358875.0,False,76.68513326409517,108.39610310739477,,False,292,False,False,824,다이나믹디자인,145210,D,C,D,D,2025,,,,
00160588,한화,000880,1,부채비율≥200%;유동비율<100%;,25.0,계속사업자,01,,3617389000000.0,False,209.64626696216527,72.54897908618796,,False,20494,False,False,70,한화,000880,A,A,A,B+,2025,,,,
00106395,금호전기,001210,0,정상,0.0,계속사업자,01,,12038340201.0,False,147.069651408666,117.5615328361656,,False,28410,False,False,864,금호전기,001210,D,C,C,D,2025,,,,
00876908,모트렉스,118990,1,유동비율<100%;,25.0,계속사업자,01,,238270725990.0,False,138.0334746416995,68.20919765301959,,False,303,False,False,687,모트렉스,118990,C,C,B,D,2025,,,,
00444329,위메이드,112040,0,정상,0.0,계속사업자,01,,511840775452.0,False,33.96174568282351,163.90289683053442,,False,5821,False,False,392,위메이드,112040,B+,A,A+,B,2025,,,,
00367844,자이에스앤디,317400,0,정상,0.0,계속사업자,01,,492145439816.0,False,57.17049693301918,237.7751799349016,,False,681,False,False,326,자이에스앤디,317400,B+,B+,A,B+,2025,,,,
00547583,하나금융지주,086790,0,정상,0.0,계속사업자,01,,19540805000000.0,False,36.480293416775815,,,False,64992,False,False,159,하나금융지주,086790,A,A,B+,A+,2025,통합 등급조정(2026.04.),,사회 등급조정(2026.04.),
00140131,키다리스튜디오,020120,1,유동비율<100%;,25.0,계속사업자,01,,234237670654.0,False,30.857134039198023,99.75098735400262,,False,631,False,False,218,키다리스튜디오,020120,C,D,C,C,2025,,,,
00158325,NICE평가정보,030190,0,정상,0.0,계속사업자,01,,433179958769.0,False,28.54277310551521,165.39233709101268,,False,63991,False,False,962,NICE평가정보,030190,B+,C,B+,B+,2025,,,,
00159500,한국종합기술,023350,1,유동비율<100%;,25.0,계속사업자,01,,170644691767.0,False,147.88432937929912,89.00173846578208,,False,72121,True,False,126,한국종합기술,023350,B,C,B,B,2025,,,,
00145880,현대제철,004020,0,정상,0.0,계속사업자,01,,18967347582093.0,False,65.84002785296124,151.6568691014313,,False,2411,False,False,40,현대제철,004020,B+,B+,A+,B,2025,,,,
00340096,미래에셋벤처투자,100790,0,정상,0.0,계속사업자,01,,345432638366.0,False,10.662610101415734,,,False,649,False,False,679,미래에셋벤처투자,100790,D,D,D,D,2025,,,,
00904672,넷마블,251270,1,유동비율<100%;,25.0,계속사업자,01,,5147770864047.0,False,34.23317432684996,22.278320654377765,,False,5821,False,False,839,넷마블,251270,A,B+,A+,A,2025,,,,
00193009,케이에이치필룩스,033180,0,정상,0.0,계속사업자,01,,441666793006.0,False,9.074797801576064,225.29853601689305,,False,2629,False,False,1002,KH 필룩스,033180,D,C,D,D,2025,,,,
00651017,나우IB,293580,0,정상,0.0,계속사업자,01,,104483777400.0,False,48.51640105997929,,,False,64919,False,False,855,나우IB,293580,D,D,D,D,2025,,,,
00111847,대원강업,000430,1,유동비율<100%;,25.0,계속사업자,01,,467633995000.0,False,57.50857911859038,81.44988809023714,,False,303,False,False,803,대원강업,000430,A,B+,A,A,2025,,,,
