corp_code,bsns_year,drctr_co,otcmp_drctr_co,stlm_dt,rcept_no,corp_name,outside_ratio
00188089,2025,7.0,3.0,2025-12-31,20260313001074,한섬,0.42857142857142855
00106368,2025,10.0,7.0,2025-12-31,20260318001268,금호석유화학,0.7
00149026,2025,4.0,3.0,2025-12-31,20260814002107,CS홀딩스,0.75
00123781,2025,3.0,1.0,2025-12-31,20260318000484,부국철강,0.3333333333333333
01291317,2025,4.0,2.0,2025-12-31,20260319001310,더블유씨피,0.5
00961774,2025,4.0,1.0,2025-12-31,20260323001351,유티아이,0.25
00131692,2025,4.0,1.0,2025-12-31,20260319001055,서흥,0.25
00107677,2025,5.0,1.0,2025-12-31,20260323001209,비비안,0.2
00110608,2025,6.0,3.0,2025-12-31,20260319001193,DSR,0.5
01059605,2025,4.0,1.0,2025-12-31,20260316001465,디와이파워,0.25
00622787,2025,8.0,3.0,2025-12-31,20260318001576,바이오노트,0.375
00136402,2025,4.0,2.0,2025-12-31,20260323000048,신송홀딩스,0.5
00133335,2025,3.0,1.0,2025-12-31,20260318001159,성창기업지주,0.3333333333333333
00131054,2025,5.0,3.0,2025-12-31,20260318000844,유진증권,0.6
00185356,2025,4.0,1.0,2025-12-31,20260602000220,제룡전기,0.25
00112679,2025,6.0,3.0,2025-12-31,20260319000402,대창단조,0.5
00439965,2025,3.0,1.0,2025-12-31,20260320001026,나노신소재,0.3333333333333333
00160205,2025,3.0,1.0,2025-12-31,20260319000796,한국내화,0.3333333333333333
00628860,2025,9.0,3.0,2025-12-31,20260319001284,네오위즈,0.3333333333333333
00129280,2025,1.0,1.0,2025-12-31,20260319001013,삼화전자공업,1.0
00260383,2025,7.0,4.0,2025-12-31,20260305001191,대한유화,0.5714285714285714
01301252,2025,4.0,1.0,2025-12-31,20260319000082,티이엠씨,0.25
00579971,2025,5.0,0.0,2025-12-31,20260311004380,칩스앤미디어,0.0
00145109,2025,7.0,4.0,2025-12-31,20260312001236,유한양행,0.5714285714285714
00132628,2025,4.0,1.0,2025-12-31,20260318000170,성문전자,0.25
00413523,2025,10.0,4.0,2025-12-31,20260316001377,한미글로벌,0.4
00142883,2025,3.0,0.0,2025-12-31,20260318001142,우신시스템,0.0
00161781,2025,4.0,1.0,2025-12-31,20260311003981,아난티,0.25
