종목코드=기업코드,법인명=종목명=기업명,지정구분,지정업종(목표)/계획업종(할당),업종명,온실가스 배출량(tCO₂eq),에너지 사용량(TJ),시장구분,시가총액,ESG등급,환경,사회,지배구조,비고
078020,LS증권,,,금융,,,KOSDAQ,,C,D,D,B,
108320,LX세미콘,,,전기·전자,,,KOSPI,,B+,B+,A,B+,
,LX엠엠에이,업체,기초 화학물질 제조업,,"327,127","2,974",,,,,,,
001120,LX인터내셔널,,,유통,,,KOSPI,,A,B+,A+,B+,
108670,LX하우시스,업체,플라스틱 제품 제조업,화학,"113,467","2,180",KOSPI,,A,A,A,B+,
383800,LX홀딩스,,,기타금융,,,KOSPI,,B+,A,A,B+,
023150,MH에탄올,,,음식료·담배,,,KOSPI,,D,D,D,C,
,MSC,사업장,기타 식품 제조업,,"29,704",596,,,,,,,
035420,NAVER,사업장,"자료 처리, 호스팅, 포털 및 기타 인터넷 정보 매개 서비스업",IT 서비스,"121,187","2,531",KOSPI,,A,A,A+,A,
036570,NC,,,IT 서비스,,,KOSPI,,A,B+,A+,A,
,NC양산(주),사업장,폐기물 처리업,,"32,957",24,,,,,,,
,NC울산(주),사업장,폐기물 처리업,,"71,888",40,,,,,,,
060250,NHN KCP,,,금융,,,KOSDAQ,,B,B,B,B,
054050,NH농우바이오,,,"농업, 임업 및 어업",,,KOSDAQ,,C,D,D,B,
839719,NH농협손해보험,,,,,,,,등급없음,등급없음,등급없음,A,
005940,NH투자증권,,,증권,,,KOSPI,,B+,B+,A,B+,
034310,NICE,,,일반서비스,,,KOSPI,,B+,B,A,B+,
030190,NICE평가정보,,,IT 서비스,,,KOSPI,,B+,C,B+,B+,
008260,NI스틸,,,금속,,,KOSPI,,D,D,C,D,
,OCI SE 주식회사,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업",,"1,290,550","23,775",,,,,,,
010060,OCI홀딩스,업체,기초 화학물질 제조업,기타금융,"1,140",22,KOSPI,,A,B+,A+,A,
178920,PI첨단소재,사업장,플라스틱 제품 제조업,화학,"106,164","1,867",KOSPI,,B+,B+,A,B+,
001340,PKC,업체,기초 화학물질 제조업,화학,"216,598","4,310",KOSPI,,D,C,D,D,
005490,POSCO홀딩스,업체,1차 철강 제조업,금속,"10,745",222,KOSPI,,A,A,A+,A,
218410,RFHIC,,,전기·전자,,,KOSDAQ,,D,C,D,D,
034120,SBS,,,오락·문화,,,KOSPI,,A,B+,B+,A,
003080,SB성보,,,화학,,,KOSPI,,D,D,C,C,
036540,SFA반도체,사업장,반도체 제조업,전기·전자,"30,280",607,KOSDAQ,,D,C,C,D,
016250,SGC E&C,,,건설,,,KOSDAQ,,C,B,C,C,
005090,SGC에너지,업체,유리 및 유리제품 제조업,전기·가스,"1,780,408","46,581",KOSPI,,B,A,B+,C,
001380,SG글로벌,,,운송장비·부품,,,KOSPI,,D,C,D,D,
004060,SG세계물산,,,유통,,,KOSPI,,D,D,D,C,
001770,SHD,,,금속,,,KOSPI,,D,D,D,C,
002360,SH에너지화학,,,화학,,,KOSPI,,C,C,D,B,
009160,SIMPAC,업체,1차 철강 제조업,금속,"99,791","1,161",KOSPI,3.33691E+11,D,C,C,D,
033530,SJG세종,,,운송장비·부품,,,KOSPI,,D,C,C,D,
034730,SK,업체,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",기타금융,"136,656","2,846",KOSPI,,A,A,A+,A,
,SKbroadband(주),업체,전기 통신업,,"455,962","9,485",,,,,,,
011790,SKC,업체,플라스틱 제품 제조업,화학,"1,437",28,KOSPI,,A,A,A+,A,
018670,SK가스,사업장,발전에너지,유통,"14,853",241,KOSPI,,A,A,A+,A,
001740,SK네트웍스,사업장,건물,유통,"23,447",478,KOSPI,,A+,A,A+,A+,
006120,SK디스커버리,,,기타금융,,,KOSPI,,A,A,A+,A,
210980,SK디앤디,,,부동산,,,KOSPI,,A,A,A+,A,
302440,SK바이오사이언스,사업장,석유화학,제약,"17,352",356,KOSPI,,A,B+,A+,A,
402340,SK스퀘어,,,기타금융,,,KOSPI,,A+,A,A+,A+,
361610,SK아이이테크놀로지,사업장,일차전지 및 축전지 제조업,전기·전자,"75,145","1,540",KOSPI,,A,A,A+,A,
100090,SK오션플랜트,사업장,조선,금속,"18,207",325,KOSPI,,A+,A+,A+,A,
096770,SK이노베이션,업체,일차전지 및 축전지 제조업,화학,"2,364,006","47,046",KOSPI,1.71081E+13,A+,A,A+,A+,
,SK인천석유화학(주),업체,석유 정제품 제조업,,"1,538,765","45,185",,,,,,,
001510,SK증권,,,증권,,,KOSPI,,B+,A,B+,B+,
285130,SK케미칼,업체,합성고무 및 플라스틱 물질 제조업,화학,"222,379","4,056",KOSPI,,A+,A+,A+,A+,
017670,SK텔레콤,업체,전기 통신업,통신,"1,166,518","24,364",KOSPI,,A,A,B+,A,
000660,SK하이닉스,업체,반도체 제조업,전기·전자,"4,848,541","94,903",KOSPI,,B+,A,A+,B,
048550,SM C&C,,,일반서비스,,,KOSDAQ,,D,D,D,D,
063440,SM Life Design,,,출판·매체복제,,,KOSDAQ,,D,D,D,D,
003570,SNT다이내믹스,,,운송장비·부품,,,KOSPI,,C,C,D,C,
064960,SNT모티브,,,운송장비·부품,,,KOSPI,,C,C,C,C,
100840,SNT에너지,,,기계·장비,,,KOSPI,,C,C,D,B,
036530,SNT홀딩스,,,기타금융,,,KOSPI,,B,C,D,B+,
010950,S-Oil,업체,석유 정제품 제조업,화학,"9,632,037","127,577",KOSPI,9.34437E+12,A,B+,A,A,
067160,SOOP,,,IT 서비스,,,KOSDAQ,,B+,B,A,B+,
000390,SP삼화,,,화학,,,KOSPI,,B+,B+,B+,B+,
011810,STX,,,유통,,,KOSPI,,D,D,C,D,
077970,STX엔진,,,기계·장비,,,KOSPI,,D,C,C,D,
002820,SUN&L,사업장,나무제품 제조업,종이·목재,"9,998",271,KOSPI,33222051015,C,C,C,B,
002170,SYTS,,,섬유·의류,,,KOSPI,,C,C,D,B,
002710,TCC스틸,사업장,1차 철강 제조업,금속,"32,724",676,KOSPI,,C,B,A,D,
007980,TP,,,섬유·의류,,,KOSPI,,C,C,C,C,
002900,TYM,,,기계·장비,,,KOSPI,,B+,B+,A,B,
024070,WISCOM,,,화학,,,KOSPI,,C,C,D,C,
,Y&T파워텍(주),사업장,자동차,,"19,258",401,,,,,,,
037270,YG PLUS,,,IT 서비스,,,KOSPI,,D,D,D,D,
000500,가온전선,사업장,전기전자,전기·전자,"8,572",175,KOSPI,1.36315E+12,B,A,A,C,
,강남금융센터(주),사업장,건물,,"17,358",358,,,,,,,
000860,강남제비스코,,,화학,,,KOSPI,,B+,A,B+,B+,
,강남화성(주),사업장,석유화학,,"19,455",314,,,,,,,
198440,강동씨앤엘,업체,"시멘트, 석회, 플라스터 및 그 외 제품 제조업",비금속,"9,576",181,KOSDAQ,66293902848,,,,,
,강릉시,사업장,폐기물 처리업,,"107,713",764,,,,,,,
,강릉에코파워(주),업체,발전에너지,,"2,627,471","32,364",,,,,,,
,강변테크노마트 주식회사,사업장,건물,,"13,404",278,,,,,,,
,강원고속,사업장,육상 여객 운송업,,"16,788",239,,,,,,,
,강원대학교,사업장,건물,,"19,897",411,,,,,,,
035250,강원랜드,사업장,유원지 및 기타 오락관련 서비스업,오락·문화,"79,430","1,602",KOSPI,4.05417E+12,A,A,A,A,
114190,강원에너지,,,전기·전자,,,KOSDAQ,,D,C,D,D,
094480,갤럭시아머니트리,,,IT 서비스,,,KOSDAQ,,C,D,C,B,
011420,갤럭시아에스엠,,,오락·문화,,,KOSPI,,D,D,D,D,
,거제시,사업장,폐기물 처리업,,"60,696",487,,,,,,,
,건화,사업장,선박 및 보트 건조업,,"36,370",655,,,,,,,
,경기고속,업체,육상 여객 운송업,,"115,254","1,851",,,,,,,
,경기그린에너지(주),업체,전기업,,"118,443",0,,,,,,,
,경기도 광주시,업체,수도업,,"59,846",999,,,,,,,
,경기상운,사업장,교통(여객),,"18,284",321,,,,,,,
,경남여객,사업장,육상 여객 운송업,,"41,498",701,,,,,,,
192520,경남은행,,,,,,,,등급없음,등급없음,등급없음,B+,
002100,경농,,,화학,,,KOSPI,,C,C,D,B,
,경동,업체,석탄 광업,,"204,871",383,,,,,,,
009450,경동나비엔,,,전기·전자,,,KOSPI,,A,B+,A+,B+,
267290,경동도시가스,,,전기·가스,,,KOSPI,,B,C,B+,B,
,경동원,사업장,기계,,"8,652",168,,,,,,,
012320,경동인베스트,,,기타금융,,,KOSPI,,B,C,B+,B,
000050,경방,사업장,건물,유통,"18,122",375,KOSPI,2.56607E+11,C,C,D,C,
214390,경보제약,사업장,석유화학,제약,"11,603",278,KOSPI,1.37943E+11,B+,B+,A,B,
,경북고속,사업장,육상 여객 운송업,,"31,288",443,,,,,,,
,경북대학교,사업장,고등 교육기관,,"41,113",864,,,,,,,
,경북대학교병원,사업장,건물,,"20,752",426,,,,,,,
,경산시,사업장,폐기물 처리업,,"74,974",800,,,,,,,
,경산제지 주식회사,사업장,"펄프, 종이 및 판지 제조업",,"107,106",909,,,,,,,
,경상국립대학교,사업장,건물,,"20,967",433,,,,,,,
,경상북도,사업장,폐기물 처리업,,"71,188",426,,,,,,,
,경신전선,사업장,전기전자,,"14,500",300,,,,,,,
